Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
On 18 June 2019 at approx. 08:30 hrs the grease traps (4 total) were inspected as per weekly Pm cubeS. 2 Grease traps ( 2& 4) were observed to have a certain am cubeount of unwanted item cubes. The unwanted item cubes included Plastic 4 pcs & Plastic cap 1 piece.The contam cubeinated grease traps were put out of service and cleaned. All the unwanted item cubes were rem cubeoved from cube the grease traps and properly disposed of. The Director of Env Com cubepliance was inform cubeed of the non-com cubepliance of our policy & the HD FOm cube & BOm cube were present during the inspection so are aware. An entry in the GRB and NAPA log will be m cubeade.On further investigation the root cause of the non-com cubepliance was determ cubeined to be inadequate separation at source. Corrective actions taken- Item cubes rem cubeoved from cube the traps. Preventive action taken- HD FOm cube & BOm cube witnessed the operation and finding so awareness and carefulness is needed from cube team cubes.,Other,Other Corrective Action,The grease traps n. 2 and 4 were put out of service and cleaned.
While alongside Port of Jacksonville - FL during provision loading  one of the pallet loaded with Soda cans (Coke & sprite) was accidentally scattered on to the ship's loading platform cube and dropped in to the safety net underneath two soda cans were fallen in to the water and due to strong current it went under the pier and unable to retrieve . Incident was reported to ship agent for notifying the local port authority. m cubearpol Annex V violation recorded in GRB and NAPA E-log.,Other,Other Corrective Action,Shore side Forklift operators to ensure m cubeore safe operation and do not m cubeove the m cubeaterials if not properly secured palatalized and shrink wrap
While ship was alongside in Cozum cubeel on 22nd June 2019 One hat pertaining to a passenger was seen floating in the water next to the ship being blown by the wind. The hat couldnt be recovered. Port agent was notified to inform cube port authorities. An entry was m cubeade inside the Garbage record book and Napa log.,External Events,Other Corrective Action,Housekeeping to be involved next tim cubee in efforts to recover hats and sim cubeilar item cubes floating next to the ship. Aquatic attendants have long sticks with net on top which are suitable for this purpose
While ship was alongside in Cozum cubeel on 22nd June 2019 One hat pertaining to a passenger was seen floating in the water next to the ship being blown by the wind. The hat couldnt be recovered. Port agent was notified to inform cube port authorities. An entry was m cubeade inside the Garbage record book and Napa log.,Other,Other Corrective Action,Housekeeping to be involved next tim cubee in efforts to recover hats and sim cubeilar item cubes floating next to the ship. Aquatic attendants have long sticks with net on top which are suitable for this purpose
On June 23rd around 02:30 pm cube during the weekly food waste system cubes inspection certain non-food wastes were found. All non-food Item cubes found were rem cubeoved and properly disposed of.  The Director of Envtl. Com cubepliance was inform cubeed of the non-com cubepliance and dept. Food ops. and Hskpg. the departm cubeent head was notified of the incident. An entry of the event was recorded in the Ships Garbage record book and NAPA (Deck elog Book). On further investigation the root cause of the non-com cubepliance is determ cubeined to be im cubeproper separation at source. Supervisors responsible for ensuring separation will be counseled and will be advised to increase vigilance in all areas. To prevent re-occurrence additional training and increased supervision at food sorting areas and new Pulper inspection/control regim cubees have been im cubeplem cubeented. Reduction of food waste initiatives has also been introduced and is now in the process of im cubeplem cubeentation fleet wide.,No Procedure for Task/Operation,Adm cubeinistrative Control,Im cubeproper separation at source
On 23rd June 2019 at around 10:00 am cube during the weekly inspection of Food Waste System cubes while Carnival Breeze in navigation from cube P. Canaveral to Am cubeber Cove (Dom cube. Rep) was outside 12 Nm cube from cube baseline non-food item cubes: knife spoons beer crowns m cubeetal and broken china were found inside the food waste m cubeixing tank and m cubeagnetic cutlery trap. It is not confirm cubeed that item cubes definitively went overboard. A non quantifiable am cubeount was rem cubeoved and properly disposed. Attached find the photos GBR NAPA entries and Concerned shore side personnel was notified by m cubeail.,Other,Other Corrective Action,The above m cubeentioned equipm cubeent (m cubeagnetic cutlery trap and Food waste m cubeixing tank) were cleaned rem cubeoving all nonfood item cubes avoiding a potential discharge overboard.
On 23rd June 2019 at around 10:00 am cube during the weekly inspection of Food Waste System cubes while Carnival Breeze in navigation from cube P. Canaveral to Am cubeber Cove (Dom cube. Rep) was outside 12 Nm cube from cube baseline non-food item cubes: knife spoons beer crowns m cubeetal and broken china were found inside the food waste m cubeixing tank and m cubeagnetic cutlery trap. It is not confirm cubeed that item cubes definitively went overboard. A non quantifiable am cubeount was rem cubeoved and properly disposed. Attached find the photos GBR NAPA entries and Concerned shore side personnel was notified by m cubeail.,Other,Other Corrective Action,The above m cubeentioned equipm cubeent (m cubeagnetic cutlery trap and Food waste m cubeixing tank) were cleaned rem cubeoving all nonfood item cubes avoiding a potential discharge overboard.
"On June 20 2019 at approx. 22:00 the Grease Traps were observed to have a certain am cubeount of non-food item cubes. The non-food item cubes included broken glass broken china and silverware. All the non-food item cubes were rem cubeoved from cube the Grease Traps and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the Food/Beverage departm cubeents have been inform cubeed accordingly. The Grease Traps are cleaned and inspected every week as required by Instructional Notice ENV/07/2019.  All drain bells/covers are in place. The root cause is suspected to be that these item cubes were already in the pipe and were flushed down over tim cubee. 
 An entry in the Garbage record book and NAPA log were m cubeade.",Other,Other Corrective Action,Non-food item cubes rem cubeoved and disposed accordingly
"The Heat Detector B0009 that was placed inside the silo #2 that is not anym cubeore existing
At this tim cubee the heat detector is located close the m cubeachineries relative to the new AAQS installation. 
However the heat generated from cube the new equipm cubeent activate the detector that going in alarm cube start the HiFog in that area",No Independent Review / Verification,Other Corrective Action,"The area is covered by other 4 detectors: IR Flam cubee Detectors B005 & B008 and Sm cubeoke Detectors B006 & B007 
At the m cubeom cubeent we are keeping the detector deactivate in order to avoid accidentally Hif-og release."
"The Heat Detector B0009 that was placed inside the silo #2 that is not anym cubeore existing
At this tim cubee the heat detector is located close the m cubeachineries relative to the new AAQS installation. 
However the heat generated from cube the new equipm cubeent activate the detector that going in alarm cube start the HiFog in that area",No Independent Review / Verification,Other Corrective Action,Autronica attended on July 22 in Key west. The issue has been solved and all the detectors are enabled.
"Please be inform cubeed that on 6/25/2019 at approx. 09:15 Am cube during the weekly inspection the fwd grease separating tank/dirty side has been noticed to have several sm cubeall plastic pieces like straws wrapping labels and other item cubes.
The non-food item cubes were rem cubeoved from cube the fwd grease separating tank and properly disposed of. The grease separating tank has been em cubeptied cleaned and replaced in operation.
The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the concerned Departm cubeent Heads have been inform cubeed accordingly
It is not confirm cubeed that any item cubes definitively went overboard.
IR will be issued NAPA and GRB entries done",Other,Other Corrective Action,The non-food item cubes have been rem cubeoved and properly disposed of
Ejector food waste discharge pipe got blocked by unknown object. Pipe was dism cubeantled and 1 m cubeetal piece was found inside the pipe. Piece of m cubeetal was souse holder. m cubeetal was rem cubeoved and disposed properly. Tanks were inspected and no other non-food item cubes observed. The Director of Environm cubeental Com cubepliance was inform cubeed and departm cubeents have been inform cubeed accordingly. Incident was recorded in the official ship log and garbage record book. All item cubes found together m cubeeasure less than 1kg or less than 0.001m cube3. (Quantity estim cubeated and left to interpretation; m cubearpol appendix to Annex V-4.2),Other,Other Corrective Action,Non-food item cubes rem cubeoved and disposed in correct waste receptacle.
Ejector food waste discharge pipe got blocked by unknown object. Pipe was dism cubeantled and 1 m cubeetal piece was found inside the pipe. Piece of m cubeetal was souse holder. m cubeetal was rem cubeoved and disposed properly. Tanks were inspected and no other non-food item cubes observed. The Director of Environm cubeental Com cubepliance was inform cubeed and departm cubeents have been inform cubeed accordingly. Incident was recorded in the official ship log and garbage record book. All item cubes found together m cubeeasure less than 1kg or less than 0.001m cube3. (Quantity estim cubeated and left to interpretation; m cubearpol appendix to Annex V-4.2),Other,Other Corrective Action,Non-food item cubes rem cubeoved and disposed in correct waste receptacle.
On June 27th at around 06:50 Am cube AEOOW observed a leak from cube the Sea Water Crossover Suction valve (AZ/031 VF) for the Ballast located in the m cubeidship evaporator room cube. Leakage was caused due to an observed lose bolt connection. Bolt was then tightened im cubem cubeediately and no further leak was thereafter.  This incident generated approx. 2.0 m cube3 of bilge water that led to an increase in the ships daily bilge load by m cubeore than 1.0 m cube3. An Entry was m cubeade in the ships Panam cubea Oil Record Book and Napa E log. As a preventive action CE advised the safety engineer to check all crossover bolts and tightened them cube up if in case needed. Generated bilge water will be processed overboard via the OWS and did not have any im cubepact on the operation of the ship.,Other,Engineering Control,Lose bolt form cube were the leak was overflowing was tightened up well.
On 27th June 2019 while the ship was docked in G. Turkat 16:00 a hat from cube guest fell into the sea due to wind. The hat cannot been retrieved because sank rapidly. Attached GRB and NAPA entries and m cubeail to the Director of Environm cubeental Com cubepliance and concerned shore side personnelit was reported to the port agent (via m cubeail) who inform cubeed the Port Authority of the incident on the ship's behalf .,Other,Other Corrective Action,It was reported to the Port Agent (m cuber. Rostand m cubealcom cube ) who inform cubeed the Harbor m cubeaster of the incident on the ships behalf.
"On June 29 2019 at approx. 11:15 Am cube while the ship was alongside in Nassau the Grease tank was opened for weekly inspection. The non-food item cubes were found in the  Stbd Grease Tank  included a piece of Saran Wrap Plastic and a unknown plastic piece.  Both the non-food item cubes were rem cubeoved from cube the Grease Tank and properly disposed of. The Director of Environm cubeental Com cubepliance was inform cubeed of the non-com cubepliance of our policy and the Hotel Director was present during the inspection and aware of the results of the inspection. 
An entry in the Garbage record book and NAPA log were m cubeade.
 The ship does not have any pulper system cube operational also there is no Food Waste tank available on board On further investigation the root cause of the non-com cubepliance was determ cubeined the non food item cubes entered inside the tank through either drains from cube Galleys or the item cubes were previously rem cubeained inside the pipelines. advised the Food operation team cube to inspect the  drain covers are intact .",Other,Other Corrective Action,Inspection of Galleys and Pantries drain covers are inspected daily basis
During m cubeaneuvering on the arrival in New York we experoienced a wet and dry carry over due to variation of load. AAQS 1-3-4-5-6 were off since 4.40 am cube.,Other,Other Corrective Action,AAQS 1 & 3 will be stopped 2 hours earlier in order to dry up and/or elim cubeinate condensation from cube the horizontal portio of the funnel.
"On 09/10/2019 while docked in Sint m cubeaarten around 08:00am cube a R407C leak was discovered in the Vegetable Preparation Cold Room cube 3-255 Deck 3 Aft SB.
The inlet and outlet valves were closed and isolated to stop the leak.
The leak was located on the liquid line Solenoid Valve connection. The likely cause is ship vibration.
After repairing the leak the section was pressure tested and no further leaks could be detected.
System cube was refilled with 52 kg of R407C the leas was >10% of the total capacity of the system cube.",Other,Other Corrective Action,Leak was fixed
"On 09/10/2019 while docked in Sint m cubeaarten around 08:00am cube a R407C leak was discovered in the Vegetable Preparation Cold Room cube 3-255 Deck 3 Aft SB.
The inlet and outlet valves were closed and isolated to stop the leak.
The leak was located on the liquid line Solenoid Valve connection. The likely cause is ship vibration.
After repairing the leak the section was pressure tested and no further leaks could be detected.
System cube was refilled with 52 kg of R407C the leas was >10% of the total capacity of the system cube.",Other,Other Corrective Action,Leak was fixed
"On the 16th Septem cubeber around 7:30am cube while the ship was m cubeaneuvering to dock in m cubeobile AL an handrail has fall into the water. Then it has been retrieved. 
�	Notification to port agent to inform cube port authority (attached)
�	NAPA environm cubeental observation (attached)",Other,Other Corrective Action,the handrail was retrieved and relocated in place
On 17 Septem cubeber 2019 Refrigeration team cube detected a leak of Freon on unit Ice m cubeaker Cornelius IU 700 located in Lido deck 9 Aft Port Side. The leak occurred due to the valve on the fitting to connect the m cubeanom cubeeter to the system cube not properly tightened. On discussing with Chief Refrigeration it was confirm cubeed that the vibrations m cubeight have caused this. The refrigerant type in use in the system cube is R-404a non-ODS.,Other,Other Corrective Action,The valve was properly tightened and a cap was placed on it in order to avoid any gas leak. The system cube was refilled using 300 gram cubes of Freon R404a. An entry was recorded in Refrigerant Record Book and an entry will be recorded in Napa E-Log as well to d
At around 11:40 hrs on 26th Septem cubeber 2019 while the ship was docked at Ocean Term cubeinal in Portland USA one sm cubeall glass cleaning squeeze accidentally fell overboard during cleaning the balcony glass of guest cabin# 7373. Squeeze was secured with the rope and team cube m cubeem cubeber was holding the rope around the wrist but accidentally slipped and fell overboard. Squeeze was m cubeade of sponge plastic rubber and m cubeetal. Approx. volum cubee of squeeze was 0.1 m cube3 and weight was 350 gram cubes. Squeeze could not be retrieved from cube sea as it sank sam cubee tim cubee.,Other,Other Corrective Action,Event logged in Deck Napa e-log (Entry attached) and GRB (Entry attached).
At around 11:40 hrs on 26th Septem cubeber 2019 while the ship was docked at Ocean Term cubeinal in Portland USA one sm cubeall glass cleaning squeeze accidentally fell overboard during cleaning the balcony glass of guest cabin# 7373. Squeeze was secured with the rope and team cube m cubeem cubeber was holding the rope around the wrist but accidentally slipped and fell overboard. Squeeze was m cubeade of sponge plastic rubber and m cubeetal. Approx. volum cubee of squeeze was 0.1 m cube3 and weight was 350 gram cubes. Squeeze could not be retrieved from cube sea as it sank sam cubee tim cubee.,Other,Other Corrective Action,Assistant Stateroom cube Steward reported the event to Environm cubeental Officer through Sr. Asst. Housekeeping m cubeanger Olena. . Environm cubeental Officer Ashok Kum cubear inform cubeed the incidents to Captain Isidoro Renda Director Environm cubeental Com cubepliance Benton Lobo. Ship agent m cubeiguel was notified via phone and e-m cubeail who confirm cubeed the event was reported to inform cube Portland Port Authority (e-m cubeail attached).
"This is to report Non-food waste item cubes found during Weekly inspection of Food waste
tanks & Grease Separator Tank
Fwd & Aft.
Food Waste Tanks & Grease Separator Tanks Fwd & Aft  Inspected on 09/30/2019 from cube
08:45 Am cube to 09:20 Am cube.
Findings:
Food waste tank Aft : :   A sm cubeall piece of broken China.
Food waste tank Fwd : Two sm cubeall pieces of broken china
Galley Grease tank Aft : A sm cubeall lum cubep of cotton m cubeop threads
Galley Grease Tank Fwd : A piece of grill brick.
Corrective Actions : All non-food waste item cubes were rem cubeoved and discarded in appropriate bins tank kept out of service
and to be cleaned. Due to the nature of the ships system cube it is not possible to identify the
source of the item cubes found in the
system cube.
m cubeatter was discussed with m cubeanagem cubeent present there for Inspection.
Incident was reported to the Environm cubeental Com cubepliance Director .
Incident was recorded in NAPA E.Log.",Disregard for Com cubepany Procedures / Policies,Other Corrective Action,All non-food waste item cubes were rem cubeoved and discarded in appropriate bins. Tank to be kept out of service and to be cleaned.
"On Oct 14th 2019 at 09:20 A.m cube while the ship was docked in Am cubeber Cove during the weekly inspection of Galley Grease Traps a piece of broken china was found inside the m cubeain Galley Grease Trap C. The non-food item cube was rem cubeoved and properly disposed avoiding a potential discharge overboard. 
During the routine cleaning ops of the galleys drain bells were unscrewed and rem cubeoved leading the non food item cube to fall into the grey water drains.
Attached find the photos NAPA e log entry and respective com cubem cubeunication to Director Environm cubeental (CCL) and other shipboard/shore side personnel.",Other,Other Corrective Action,The Galley Grease Trap C was cleaned and the piece of broken china was rem cubeoved and properly disposed avoiding a potential discharge overboard. The Director of Environm cubeental Com cubepliance and the responsible departm cubeents have been inform cubeed about the issue.
"On October 21st  2019 at 07:50 Am cube   we had refrigerant leak on the Evaporator  on  U/c 3-47 Crew Galley and has been  reported. It has been then refilled with 0.250 Kg of R134A.
Leakage  where found on the Evaporator  leaks was im cubem cubeediately stopped by the isolation valves  Evaporator has been repaired and pressure test done no m cubeore leak are present. This is caused by  corrosion and vibration.
Unit has been checked for other leaks  no leaks are present see attached Log.
 R134A Total Am cubeOUNT Refilled 0.250 Kg  Total Quantity of refrigerant 0.250 Kg",Other,Engineering Control,The leaks was im cubem cubeediately stopped by closing isolation valves. Evaporator has been repaired and pressure test done no m cubeore leak are present.
"While ship was underway on the way back to Long Beach. AC com cubepressor 1 has been charged with 4 cylinder of R 407c (211 KG).
There was a leakage on the shaft seal so refrigerant has been recovered and the shaft seal replaced. AC com cubepressor 1 has been tested for  leakage with vacuum cube and no m cubeore leakage detected; it has been tested also with leak detector and no leakage observed.
Leakage was greater than 10 % of the total system cube capacity. Total charge of the system cube is 884 KG.
Refrigerant record book was updated. Director environm cubeental com cubepliance was inform cubeed Captain inform cubeed Chief Engineer.",Other,Engineering Control,Refrigerant has been recovered and the shaft seal replaced. AC com cubepressor 1 has been tested for  leakage with vacuum cube and no m cubeore leakage detected; it has been tested also with leak detector and no leakage observed.
On 17 Nov 2019 at 09:30 am cube  ECP TPA onboard perform cubeing unannounced inspections requested the m cubeonthly Pm cubeS inspection for the food waste tank . The inspection of the food waste system cube was perform cubeed along with required personnel FOm cube HD BOm cube & EO. The m cubeagnetic trap was observed to have non-food item cubes that included 7 beer caps 3 spoons  6 stirrers 5 screws 1 hair clip 1 piece of cloth 1 pc of big bone 1 lid & 2 salt container lids. Pulper operation was ceased since the beginning of the inspection. The m cubeagnetic trap and food waste tank were cleaned and all food waste was rem cubeoved from cube the tank into bins to be offloaded to a shore facility. The food waste bins were inspected by the TPA as well & no non-food item cubes were found in them cube. The food waste tank was re-inspected after cleaning & the food waste system cube along with pulper operations was put back in service at 1100  hrs the sam cubee day. ENV Director was inform cubeed along all concerned on board and CCL shore side CO POD. Napa e log entry will be done by OOW.  Root cause- Inadequate initial ( separation at source) & secondary separation by Galley stewards. As required by GHESS ENV 1302 the Hotel Director was notified as was present while the inspection. Corrective & preventive actions will be provided by the Hotel Director to help ensure food waste com cubepliance.,Other,Other Corrective Action,The food waste tank was em cubeptied into red bins to be offloaded as USDA waste in an appropriate port to vendors. The food waste tank along with the m cubeagnetic trap was cleaned and re-inspected & the food waste system cube was put back in service (Pulpers m cubeagnetic trap &  food waste tank ) at around 11:00 am cube the sam cubee day.
"While at sea on Nov.182019 around 21:20 the OWS # 2 stopped itself due to bowl speed low lim cubeit P180  alarm cube.
After investigation it was found a broken drive belt. It has been replaced and during test it was found a water leackage from cube sam cubeple pipe line. Sam cubeple pipe line has been replaced with a new one
The OWS #2 has been put back in service. An entry in ORB has been m cubeade.",Other,Engineering Control,Broken belt and sam cubeple pipe line replaced.
"On 27-DEC-2019 16:50 pm cube EO was taking round in Engine room cube and notice m cube1 was getting overflow from cube pum cubep casing in Technical FW Room cube. Im cubem cubeediately EO notify to ECR watch leader. Safety Engineer & 3rd Engineer on watch cam cubee to spot to see situation.
As Correction action Safety Engineer start both pum cubep  in local m cubeode in order to decrease the level of the tank. m cubeanual sounding was perform cubeed.
As Preventive action Level transm cubeitter will be calibrated as per Sounding Table. Every watch will m cubeake m cubeanual sounding in order to prevent overflow.
Staff Chief Engineer conduct the operation with support of Chief m cubeotorm cubean team cube to pum cubep out Bilge wells from cube Technical FW Room cube to Aft m cubeachinery Room cube port side by using Portable Pum cubep.
0.9 m cube3 was pum cubeped to Aft m cubeachinery room cube.
Entry was m cubeade in ORB & NAPA.
This Incident was reported to Environm cubeental Director Lobo Benton.",Other,Other Corrective Action,Both pum cubep were started im cubem cubeediately in local m cubeode in order to decrease the level of the tank. m cubeanual sounding was perform cubeed.
While Underway in International Waters on 29 Decem cubeber 2019 during the weekly grease trap inspection non-food item cubes were found inside trap Auxiliary com cubepressor room cube (Grease Filter # 3). Item cubes observed were one piece of plastic. The filters were cleaned and placed back in service. The rest of the grease trap filters were observed free from cube any nonfood item cubes. The Director of Environm cubeental Com cubepliance and the Sunshine POD were notified about this observationas well as other shipboard m cubeanagem cubeent personnel. An entry was m cubeade in Napa E-Log. Due to the ship's design there is no way to tell exactly where the item cubes are com cubeing from cube but we continue to conduct trainings to rem cubeind team cube m cubeem cubebers of this negligent behaviour.,Hum cubean Perform cubeance Difficulty,Engineering Control,The filters were cleaned and placed back in service.
"While Alongside in Nassau on Jan 22 2020 at approx 08:30 a placard used as Pier Signage was blown into the sea by the strong wind. It was soon retrieved. Shoreside personnel (Dir of Env Com cubepliance; B.Lobo) and Sunshine POD were 
notified as well as the Port Agent who will inform cubeed the port authority of the incident on behalf of the ship. Signs will need to be secured properly to avoid this in the future. An entry was m cubeade in the Napa E-Log.",Sea/Weather condition,Other Corrective Action,The sign was rem cubeoved from cube the water.
While the ship was alongside in Tam cubepaUSA the housekeeping team cube m cubeem cubeber accidentally dropped a squeegee to the sea and the item cube could not be recovered. The team cube m cubeem cubeber was squeezing the glasses of the balconies in Deck 5 FWD Stbd side. He was adjusting the squeegee in his hand trying to wipe the blade when the fabric part detached from cube the handle and feel straight down into the ocean. The m cubeARPOL Annex V violation recorded in the Garbage Record Book NAPA ship log and requested from cube ship agent to notify Port Authority.,Poor Reasoning,,
While Underway in International waters on 02 February at 08:00 104 Kg of NON ODS R407C was lost due to a leakage found on the expansion valve of the Evaporator Chill System cube in Cold Room cube n.34; located in the Wine Cellar of Sunset Dining Room cube Pantry. This suspectedly occurred due to the ship's m cubeovem cubeent (vibrations). The leakage was stopped by closing the stop valve and replacing the expansion valve. The system cube was repaired and tested for leakage; no further leakage was observed. The chill system cube was refilled with 2 cylinders of R407C (52 KG each) and placed back in service on the sam cubee day around 09:30 am cube. Shore side Personnel and Sunshine POD were contacted and no further action is needed from cube the ship. An entry was m cubeade in the RRB and NAPA E Log.,Sea/Weather condition,Engineering Control,The leakage was stopped by closing the stop valve and replacing the expansion valve.
"On 02 Feb. 20 during Environm cubeental Officer unannounced Engine rounds an ECS lock placed on the Clean Bilge Pum cubeps delivery to interm cubeediate OCm cube  sam cubeple point (Ships VA # 8.35) was found open. EO reviewed the ENV1204 A3 ECS Vulnerability ECS Key log in ECR and no entry was recorded for opening the Lock.  The incident was reported to the Chief Engineer Captain and DOLCm cube. As im cubem cubeediate corrective action the lock was closed by the  Chief Engineer in presence of EO. The incident recorded in NAPA E-log.                                                                     
The area covered with surveillance CCTV system cube and the ships Security staff reviewed the CCTV from cube 27 Jan to 02 Feb. 20.  It was noticed that in two occasions AEEO Team cube �A was proxim cubeity to the ECS lock but do not have any evidence of opening the lock. The Engineer stated that he was perform cubeing OCm cube weekly m cubeaintenance /Cleaning cell (recorded in ORB) and he did not open the lock neither he noticed if the ECS lock was in open position.",Other,Other Corrective Action,As im cubem cubeediate corrective action the lock was closed by the Chief Engineer in presence of EO. CCTV Cam cubeera reviewed
On the 9th of February 2020 at approxim cubeately 09:00am cube ships tim cubee during the weekly inspection of the food waste system cube the following foreign item cubes were observed in Grease Separator Tank (FWD): five sm cubeall pieces of plastic. The item cubes were rem cubeoved from cube the tank and disposed of properly. The Sr. Director of Environm cubeental Policy & Reporting and Deputy OLCm cube was inform cubeed of the non-com cubepliance and the incident recorded in Napa e log.,Other,Other Corrective Action,All non-food item cubes were rem cubeoved and disposed of in the appropriate m cubeanner.
"On 2/22/2020 around 1210 hrs while docked at Port of Nassau Baham cubeas a guests from cube cabin E116 lost his baseball hat when he was disem cubebarking from cube the gangway located at m cubearshaling Area. 
28 kts of winds were present at the tim cubee of Incident. 
Ship was unable to recover the Ticket. 
Incident was reported to the Deputy OLCm cube. Incident was also reported to the Port Authority.
Incident is recorded in NAPA E.Log and in GRB.",Individual Issue,Adm cubeinistrative Control,Security Officer on duty advised guest to secure all his personal belongings in such high wind conditions.
"Following Non ODS Freon R407 F leaks reported for last 30 days
1)	Nam cubee of the Plant : PRP Freeze Unit # 1  Deck B aft Com cubepressor room cube due to dam cubeaged gasket on the filter  Gasket and fittings replaced  system cube re-filled with 11 Kg
Total of 11 Kg of Freon R407 F released to the atm cubeosphere corrective action  all leaks repaired and leak recorded in RRB",Other,Other Corrective Action,Repaired the leak and recorded in RRB
"On 29-Feb-2020 guests from cube various cabins and locations reported on guest services desk that they noticed item cubes to be thrown overboard. 
GS inform cubeed E.O. Chief Security and Housekeeping for the alleged incident. 
Upon investigation the cabin from cube where the item cubes were thrown overboard was identified. 
Guests from cube the said cabin were intoxicated and verbally adm cubeitted that they threw overboard 2 chairs and 1 table from cube their cabin veranda. 
The ship at the tim cubee of the incident was outside 12nm cube (approx. 100nm cube from cube the nearest land) from cube the nearest land. 
No port authorities were notified. 
The day after Chief Security called and reprim cubeanded the said guest for his aggressive and unacceptable behavior. Guest apologized for his actions adm cubeitted of being intoxicated but could not recall all the events. 
The guests were issued a GSAR letter and they were charged with the value of the item cubes lost overboard. 
A GRB and NAPA e-Log entry were recorded. 
Deputy OLCm cube and Splendor Pod were notified.",Other,Other Corrective Action,"Security and Housekeeping team cube perform cubeed a search in the area to identify who threw overboard the deck furniture. Guests were identified. 
Office was notified for the incident. 
Guests were issued �GSAR - Do Not Sail letter. 
They were charged with the price of the item cubes as well."
"On m cubearch 1 2020 at approxim cubeately 17:00 an alarm cube was received from cube ballast cross connection valve in forward engine room cube The engine leader officer of the watch sent the assistant officer of the watch to inspect the valve and verify if it was physically open and/or close as it was shown in Dam cubeatic. The valve is controlled by a ECS seal.
The EOOW opened the valve without knowing that this was controlled by seal; when the assistant officer checked they realized that the seal was still in place even the valve was m cubeistakenly operated. 
Im cubem cubeediately the chief engineer and EO were advised and an investigation started. 
The following are the results from cube investigation: 
No transfer took place. 
The Engineer officers were not aware of the valve being controlled by Vulnerability assessm cubeent (Seal).
The seal was supposed to break once the valve was operated but it only bent.
Following actions 
                The m cubeentioned seal was tightened 
                The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
                All the cross connection valves between ballast and bilge checked and seals adjusted.
                C.E together with EO to advise engineers of the im cubeportance of knowing the ECS vulnerabilities and operation.",Other,Other Corrective Action,All the cross connection valves between ballast and bilge checked and seals adjusted.
"On m cubearch 1 2020 at approxim cubeately 17:00 an alarm cube was received from cube ballast cross connection valve in forward engine room cube The engine leader officer of the watch sent the assistant officer of the watch to inspect the valve and verify if it was physically open and/or close as it was shown in Dam cubeatic. The valve is controlled by a ECS seal.
The EOOW opened the valve without knowing that this was controlled by seal; when the assistant officer checked they realized that the seal was still in place even the valve was m cubeistakenly operated. 
Im cubem cubeediately the chief engineer and EO were advised and an investigation started. 
The following are the results from cube investigation: 
No transfer took place. 
The Engineer officers were not aware of the valve being controlled by Vulnerability assessm cubeent (Seal).
The seal was supposed to break once the valve was operated but it only bent.
Following actions 
                The m cubeentioned seal was tightened 
                The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
                All the cross connection valves between ballast and bilge checked and seals adjusted.
                C.E together with EO to advise engineers of the im cubeportance of knowing the ECS vulnerabilities and operation.",Other,Other Corrective Action,All the cross connection valves between ballast and bilge checked and seals adjusted.
"On m cubearch 1 2020 at approxim cubeately 17:00 an alarm cube was received from cube ballast cross connection valve in forward engine room cube The engine leader officer of the watch sent the assistant officer of the watch to inspect the valve and verify if it was physically open and/or close as it was shown in Dam cubeatic. The valve is controlled by a ECS seal.
The EOOW opened the valve without knowing that this was controlled by seal; when the assistant officer checked they realized that the seal was still in place even the valve was m cubeistakenly operated. 
Im cubem cubeediately the chief engineer and EO were advised and an investigation started. 
The following are the results from cube investigation: 
No transfer took place. 
The Engineer officers were not aware of the valve being controlled by Vulnerability assessm cubeent (Seal).
The seal was supposed to break once the valve was operated but it only bent.
Following actions 
                The m cubeentioned seal was tightened 
                The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
                All the cross connection valves between ballast and bilge checked and seals adjusted.
                C.E together with EO to advise engineers of the im cubeportance of knowing the ECS vulnerabilities and operation.",Other,Other Corrective Action,The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
"On m cubearch 1 2020 at approxim cubeately 17:00 an alarm cube was received from cube ballast cross connection valve in forward engine room cube The engine leader officer of the watch sent the assistant officer of the watch to inspect the valve and verify if it was physically open and/or close as it was shown in Dam cubeatic. The valve is controlled by a ECS seal.
The EOOW opened the valve without knowing that this was controlled by seal; when the assistant officer checked they realized that the seal was still in place even the valve was m cubeistakenly operated. 
Im cubem cubeediately the chief engineer and EO were advised and an investigation started. 
The following are the results from cube investigation: 
No transfer took place. 
The Engineer officers were not aware of the valve being controlled by Vulnerability assessm cubeent (Seal).
The seal was supposed to break once the valve was operated but it only bent.
Following actions 
                The m cubeentioned seal was tightened 
                The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
                All the cross connection valves between ballast and bilge checked and seals adjusted.
                C.E together with EO to advise engineers of the im cubeportance of knowing the ECS vulnerabilities and operation.",Other,Other Corrective Action,The Officers involved were advised to inform cube C.E  EO and Captain before a seal is planned to be break or found broken.
